symbol,tf,macd,adx_thr,vol_lb,tgt_vol,IS_Sharpe,IS_MaxDD,IS_Trades,OOS_Sharpe,OOS_MaxDD,OOS_Trades
ETH-USD,1h,8/24/9,25,20,0.02,0.40712578101604724,-8.614203143257793,502,1.206973882044204,-7.642115416907935,193
ETH-USD,1h,8/26/9,20,30,0.015,0.0,-6.679216060723558,686,1.2046451446005384,-6.240938769686477,280
ETH-USD,1h,8/24/9,25,30,0.015,0.3907921838502371,-8.617600673094971,502,1.1837945629791886,-7.645978582140945,193
ETH-USD,1h,8/26/9,20,20,0.015,0.0,-6.593265216527422,686,1.1609794584253814,-6.211724492626769,280
ETH-USD,1h,12/26/9,25,30,0.02,0.7069077257248844,-7.2656391828215705,402,1.1510678763034512,-6.855802571842284,168
ETH-USD,1h,8/24/9,25,20,0.015,0.3756199536621773,-8.617894703797269,502,1.145211989791984,-7.617327067460122,193
ETH-USD,1h,8/24/9,20,30,0.02,0.0,-7.4446843621139625,688,1.1260164273150168,-6.388732834014677,289
ETH-USD,1h,12/26/9,25,20,0.02,0.6992185189789509,-7.318943995262172,402,1.1223299985544355,-6.849248356471538,168
ETH-USD,1h,12/26/9,20,30,0.02,0.1155913689529075,-9.193479058526721,556,1.1021454826115935,-6.5006784546202905,248
ETH-USD,1h,12/26/9,25,30,0.015,0.6896481236704599,-7.354498967892409,402,1.0994855150883394,-6.852598208855454,168
ETH-USD,1h,8/24/9,20,20,0.02,0.0,-7.446771758859761,688,1.064654672689282,-6.38902931366877,289
ETH-USD,1h,12/26/9,25,20,0.015,0.682476604360636,-7.404062055786098,402,1.0640555376400993,-6.848477686597231,168
ETH-USD,1h,12/26/9,20,20,0.02,0.10484319453853329,-9.210745152140298,556,1.0612679727931116,-6.504306077195099,248
ETH-USD,1h,8/24/9,20,30,0.015,0.0,-7.429731611320967,688,1.059137252937029,-6.384261194437036,289
ETH-USD,1h,12/26/9,20,30,0.015,0.1265372351094368,-9.16899232256535,556,1.0321596759245366,-6.4755500439470755,248
ETH-USD,1h,12/26/9,20,20,0.015,0.11903594710416979,-9.235609681929269,556,0.990484232275633,-6.401364406225952,248
ETH-USD,1h,8/24/9,20,20,0.015,0.0,-7.3473370032873575,688,0.9560638803173611,-6.357401145962893,289
ETH-USD,4h,12/24/9,25,20,0.015,0.0,-7.267105450136524,104,0.5806450033721855,-4.384860999445895,36
ETH-USD,4h,12/24/9,20,30,0.015,0.09691780599953595,-5.719665469927804,141,0.5101774889727432,-4.836045197663552,52
ETH-USD,4h,12/24/9,25,30,0.015,0.0,-7.3988526272602995,104,0.5013883399147171,-4.833919198645853,36
ETH-USD,4h,12/24/9,20,20,0.015,0.179596523474605,-5.417152275929949,141,0.46588904918503965,-4.399151170762727,52
ETH-USD,4h,12/24/9,20,30,0.02,0.09257592327947022,-5.927782810030957,141,0.4410638635630814,-5.114025508233699,52
ETH-USD,4h,12/24/9,25,20,0.02,0.0,-7.602356038540991,104,0.4379431515002159,-5.32688789286847,36
ETH-USD,4h,12/24/9,25,30,0.02,0.0,-7.6589195938545735,104,0.4220235709031519,-5.371315523563336,36
ETH-USD,4h,12/24/9,20,20,0.02,0.0975467794392051,-5.802988823023014,141,0.38009389964273427,-5.263013040132547,52
